method,dataset,dropout,avg total val predicted return,avg total tes predicted return,avg val predicted return,avg tes predicted return,avg val sharpe ratio,avg tes sharpe ratio,prob,prob measure
Adv-ALSTM,stocknet,0.75,12931.960566999998,18123.458988000002,5.061432707240704,4.871897577419356,0.022886192979418456,0.02075972082705923,1.0,std
Adv-ALSTM,stocknet,0.75,15382.369554,15824.567742000001,6.02049689001957,4.25391605967742,0.023617624648453864,0.01770814335215262,0.9,std
Adv-ALSTM,stocknet,0.75,15458.796987999998,23942.961590000003,6.050409780039138,6.4362799973118285,0.023734550380407327,0.025776236751739973,0.8,std
Adv-ALSTM,stocknet,0.75,10177.734066999998,25237.095631000004,3.9834575604696663,6.784165492204302,0.01446564979636094,0.0228388746709189,0.7,std
Adv-ALSTM,stocknet,0.75,14691.308716,24656.490838000005,5.750022980821917,6.628088934946238,0.019894879451978462,0.022166723311443308,0.6,std
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.5,std
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.4,std
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.3,std
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.2,std
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.1,std
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.0,std
Adv-ALSTM,stocknet,0.75,12931.960566999998,18123.458988000002,5.061432707240704,4.871897577419356,0.022886192979418456,0.02075972082705923,1.0,var
Adv-ALSTM,stocknet,0.75,10201.054377999997,25245.672301000006,3.9925848837573374,6.786471048655915,0.014498796246105453,0.022846635626829946,0.9,var
Adv-ALSTM,stocknet,0.75,14739.701414000001,23659.993841,5.768963371428572,6.36021339811828,0.019960409512129015,0.02123348706234385,0.8,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.7,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.6,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.5,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.4,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.3,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.2,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.1,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.0,var
Adv-ALSTM,stocknet,0.75,12931.960566999998,18123.458988000002,5.061432707240704,4.871897577419356,0.022886192979418456,0.02075972082705923,1.0,entr
Adv-ALSTM,stocknet,0.75,15418.665560999996,17330.393874,6.034702763600781,4.658708030645162,0.0236733333051909,0.019302396536661447,0.9,entr
Adv-ALSTM,stocknet,0.75,15475.78055,30221.443472,6.057056966731898,8.12404394408602,0.023760634575161702,0.030083017777675244,0.8,entr
Adv-ALSTM,stocknet,0.75,10181.276004,26809.523919000003,3.984843837181996,7.206861268548388,0.014470687918300234,0.024355529361817986,0.7,entr
Adv-ALSTM,stocknet,0.75,10206.224481999998,23496.410751,3.994608407827788,6.3162394491935485,0.014506143173358995,0.021164540177825906,0.6,entr
Adv-ALSTM,stocknet,0.75,14691.308716,24656.490838000005,5.750022980821917,6.628088934946238,0.019894879451978462,0.022166723311443308,0.5,entr
Adv-ALSTM,stocknet,0.75,18840.246979000003,23715.862472000004,7.37387357299413,6.375231847311829,0.024567262779399086,0.021283567447629197,0.4,entr
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.3,entr
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.2,entr
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.1,entr
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.0,entr
Adv-ALSTM,kdd17,0.1,0.0,0.0,0.0,0.0,,,1.0,std
Adv-ALSTM,kdd17,0.1,0.0,0.0,0.0,0.0,,,0.9,std
Adv-ALSTM,kdd17,0.1,0.0,0.0,0.0,0.0,,,0.8,std
Adv-ALSTM,kdd17,0.1,1.5409640000000309,40.905659,0.0001909496902106606,0.005529286158421195,0.000635595389557805,0.009505883415315438,0.7,std
Adv-ALSTM,kdd17,0.1,101.7744259999998,167.49792099999993,0.01261145303593554,0.022640973371181393,0.007868254451994775,0.013028271435310587,0.6,std
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.5,std
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.4,std
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.3,std
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.2,std
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.1,std
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.0,std
Adv-ALSTM,kdd17,0.1,0.0,0.0,0.0,0.0,,,1.0,var
Adv-ALSTM,kdd17,0.1,-4.91534499999994,-1.317180000000004,-0.0006090885997521611,-0.00017804541768045472,-0.001270990468117491,-0.00023645717276476205,0.9,var
Adv-ALSTM,kdd17,0.1,208.4224819999994,482.10199100000057,0.02582682552664181,0.06516653027845372,0.010488194140578702,0.025668522211973587,0.8,var
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.7,var
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.6,var
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.5,var
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.4,var
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.3,var
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.2,var
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.1,var
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.0,var
Adv-ALSTM,kdd17,0.1,0.0,0.0,0.0,0.0,,,1.0,entr
Adv-ALSTM,kdd17,0.1,0.0,0.0,0.0,0.0,,,0.9,entr
Adv-ALSTM,kdd17,0.1,1.4948380000000014,0.03362899999999058,0.00018523395291202,4.545688023788941e-06,0.011131744575700478,0.0002251549292523262,0.8,entr
Adv-ALSTM,kdd17,0.1,8.598067999999959,6.9679820000000205,0.0010654359355638115,0.0009418737496620736,0.005157171627073479,0.0037275533752017895,0.7,entr
Adv-ALSTM,kdd17,0.1,65.32457800000002,-10.615633999999737,0.00809474324659232,-0.0014349329548526274,0.011923774973950925,-0.0015515341707214923,0.6,entr
Adv-ALSTM,kdd17,0.1,101.7744259999998,167.49792099999993,0.01261145303593554,0.022640973371181393,0.007868254451994775,0.013028271435310587,0.5,entr
Adv-ALSTM,kdd17,0.1,256.4676129999993,492.14646800000077,0.03178037335811639,0.06652425898891602,0.012539652427837358,0.025831867085572485,0.4,entr
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.3,entr
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.2,entr
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.1,entr
Adv-ALSTM,kdd17,0.1,290.5921159999983,524.2651070000011,0.03600893630731082,0.07086578899702636,0.012316599630575903,0.023111998037254448,0.0,entr
